Fiserv/First Data North - ISO Residual Report
Report Period: February 2026
ISO Name: Apex Payment Solutions
ISO ID: 8834521
Generated: 03/15/2026
,,,,,,,,,,,,,,,,
Merch Nbr,DBA Name,Sales Rep,Rep Code,Gross Sales,Return Amt,Net Sales,Trans Count,Return Count,Interchange,Dues & Assess,Processing Fees,Total Expense,Total Income,Net Revenue,BPS,Split %,Agent Payout
4445551234567,Joe's Coffee Shop,Mike Johnson,MJ001,28450.67,342.15,28108.52,1247,12,485.22,42.68,28.45,556.35,782.39,226.04,79.4,60,135.62
4445551234568,Main Street Deli,Mike Johnson,MJ001,15230.89,125.00,15105.89,689,4,258.93,22.85,15.23,296.01,418.85,122.84,80.7,60,73.70
4445551234569,Rivertown Auto Parts,Sarah Chen,SC002,67892.34,1250.00,66642.34,2891,28,1154.17,101.89,67.89,1323.95,1867.55,543.60,80.1,55,299.98
4445551234570,Bella Italia Restaurant,Sarah Chen,SC002,42315.67,567.89,41747.78,1834,19,719.37,63.47,42.32,825.16,1163.69,338.53,80.0,55,186.19
4445551234571,Lakewood Fitness Center,Sarah Chen,SC002,31456.78,0.00,31456.78,1456,0,534.77,47.19,31.46,613.42,865.06,251.64,80.0,55,138.40
4445551234572,Green Thumb Garden Supply,Tom Wilson,TW003,19876.43,234.56,19641.87,876,8,337.90,29.81,19.88,387.59,546.60,159.01,80.0,50,79.51
4445551234573,Sunrise Bakery,Tom Wilson,TW003,8934.21,45.00,8889.21,534,3,151.88,13.40,8.93,174.21,245.69,71.48,80.0,50,35.74
4445551234574,Downtown Dental Associates,Tom Wilson,TW003,53421.90,0.00,53421.90,312,0,908.17,80.13,53.42,1041.72,1469.10,427.38,80.0,50,213.69
4445551234575,Parkview Pet Clinic,Amanda Ross,AR004,22145.33,321.00,21824.33,987,11,376.47,33.22,22.15,431.84,609.00,177.16,80.0,65,115.15
4445551234576,Crystal Clear Car Wash,Amanda Ross,AR004,34567.89,456.78,34111.11,2345,15,587.65,51.85,34.57,674.07,950.87,276.80,80.0,65,179.92
4445551234577,Valley Hardware & Home,Amanda Ross,AR004,41234.56,678.90,40555.66,1567,22,701.00,61.85,41.23,804.08,1133.95,329.87,80.0,65,214.42
4445551234578,ABC Tutoring Center,Dave Martinez,DM005,5678.90,0.00,5678.90,234,0,96.54,8.52,5.68,110.74,156.17,45.43,80.0,70,31.80
4445551234579,Harbor View Seafood,Dave Martinez,DM005,89234.56,1456.78,87777.78,3456,34,1516.99,133.85,89.23,1740.07,2454.05,713.98,80.0,70,499.79
4445551234580,Quick Lube Express,Dave Martinez,DM005,12345.67,123.45,12222.22,567,5,209.88,18.52,12.35,240.75,339.51,98.76,80.0,70,69.13
4445551234581,Mountain View Spa,Mike Johnson,MJ001,37890.12,890.12,37000.00,1678,25,644.13,56.84,37.89,738.86,1042.08,303.22,80.0,60,181.93
,,,,,,,,,,,,,,,,
,,,TOTALS,510675.92,6491.63,504184.29,20677,186,8683.07,765.97,510.68,9958.72,14044.56,4085.84,,,,2454.27
